gid	gid_v3	B_Anther	B_Ear	B_Embryo	B_Endosperm	B_Internode	B_Leaf	B_Leaf10	B_Root	B_Shoot	B_Tassel	W_Anther	W_Ear	W_Embryo	W_Endosperm	W_Internode	W_Leaf	W_Leaf10	W_Root	W_Shoot	W_Tassel
Zm00001d032527	GRMZM2G129266	18.0	6.8	0.1	0.1	153.8	18.7	26.2	18.9	12.3	10.7	9.8	2.4	0.4	0.0	31.2	5.5	15.0	7.3	8.0	9.0
Zm00001d032969	GRMZM2G016241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d033055	GRMZM2G174574	41.6	3.9	1.1	6.7	66.3	57.0	24.9	41.7	5.4	47.5	46.0	5.3	1.7	3.7	37.2	37.0	20.6	45.6	5.7	32.3
Zm00001d034072	GRMZM2G328500	263.8	87.9	137.1	49.3	529.7	93.8	448.9	575.6	93.4	334.5	299.1	37.0	158.8	25.6	526.5	49.2	1317.5	495.2	87.6	734.2
Zm00001d034602	GRMZM2G347056	188.1	320.0	375.2	109.6	505.1	132.3	528.6	812.2	360.7	516.4	189.4	190.9	305.8	47.5	177.5	53.3	529.4	581.2	354.6	521.7
Zm00001d034635	GRMZM2G155329	125.4	64.7	31.4	0.7	22.5	36.3	204.7	94.7	43.9	193.1	89.1	17.8	11.2	1.5	5.4	26.8	200.3	62.4	53.7	178.9
Zm00001d036293	GRMZM2G127948	176.4	54.4	20.7	19.5	420.3	31.6	411.4	238.3	104.0	178.3	199.0	37.0	26.1	18.2	280.9	16.7	375.8	222.9	88.5	204.2
Zm00001d037382	GRMZM2G162783	0.8	2.5	0.8	0.0	0.1	1.1	2.3	1.4	1.2	1.3	3.1	2.1	1.5	0.0	0.8	1.3	6.1	1.2	4.8	7.5
Zm00001d037383	GRMZM2G162755	1.3	0.0	0.1	0.0	0.0	0.7	1.4	5.4	38.7	24.7	1.8	0.0	0.3	0.0	0.0	0.0	9.9	1.3	74.0	229.6
Zm00001d037384	GRMZM2G383404	26.5	12.9	3.0	0.2	44.1	0.1	126.0	82.0	59.7	174.8	10.9	14.9	2.7	0.6	16.4	0.1	286.6	54.2	43.3	414.6
Zm00001d037487	GRMZM2G426175	1.0	4.9	0.2	0.0	0.2	1.7	0.6	1.3	2.6	0.3	2.3	0.1	6.8	0.1	0.0	7.9	1.2	0.6	0.1	4.0
Zm00001d037784	GRMZM2G031311	73.5	29.1	40.7	5.0	8.0	13.5	21.0	10.0	14.8	53.8	42.6	26.1	19.5	1.6	1.4	2.3	46.2	7.5	20.8	235.6
Zm00001d037849	GRMZM2G147245	14.5	0.6	0.0	0.0	10.4	4.9	1.0	59.8	1.6	7.2	1.6	3.0	2.0	0.0	1.9	1.4	3.0	60.0	1.5	3.3
Zm00001d038699	GRMZM2G140996	2.0	5.2	0.2	0.0	0.6	1.0	1449.0	7.5	95.4	10.3	0.8	1.0	0.1	0.0	0.2	0.1	211.2	1.5	73.1	153.6
Zm00001d038700	GRMZM2G141026	2.0	0.0	0.0	0.0	2.0	2.8	253.0	16.9	11.1	2.1	17.8	0.1	0.0	0.0	0.2	0.6	90.9	10.5	11.0	17.8
Zm00001d038833	GRMZM2G159404	0.8	1.7	0.6	0.2	3.6	0.3	27.2	4.4	1.8	1.1	0.1	0.4	0.4	0.1	0.4	0.3	3.6	0.5	0.6	0.4
Zm00001d039837	GRMZM2G156816	20.6	36.3	4.9	1.5	64.8	112.1	36.2	26.0	87.3	30.0	19.7	11.3	11.6	0.3	75.3	58.7	38.0	33.0	111.2	122.1
