chromosome coordinate	FPKM
1:182626470-182627576	0.183771
2:32032427-32036964	0.710767
6:34119171-34119483	0.357167
1:73379018-73382617	0.943285
1:52367818-52368594	0.169808
1:288758801-288760579	0.0328744
3:203481949-203483929	1.65882
1:267855960-267862545	0.947377
7:90748645-90777493	0.132155
8:145401331-145404933	0.0856249
7:98407385-98418774	2.35021
8:156037619-156038280	0.969839
8:13213951-13214176	10.5865
6:52176339-52177551	0.118018
2:15287263-15287920	0.265131
1:234729687-234734594	0.489631
3:230622871-230626180	0.542462
6:5244264-5245179	0.137282
6:91137862-91140765	0.030004
6:91126379-91128404	0.0583816
6:91295568-91297709	0.0738021
7:39051635-39063412	0
8:44383681-44410624	0.813596
8:139592348-139595786	0.854385
7:174836642-174838301	5.84237
8:79870108-79871283	0.609119
8:22678377-22682240	5.12758
8:22640865-22645283	0.550532
1:13357631-13372635	1.39035
2:9612287-9613906	8.74042
2:9567893-9568772	0.0653876
1:221370535-221402911	0.310587
6:108077489-108077783	1.49519
8:123614698-123615250	0.339218
6:110439531-110531186	0.0654715
1:184699839-184700461	26.9847
8:24766478-24767757	0.280436
3:71777694-71874434	0.106816
6:48606335-48607785	0.350243
8:13693012-13693586	0.120173
10:60747680-60748395	0.161448
6:82618579-82618750	4.59848
7:88508530-88547693	0.322801
7:19478417-19479536	1.4858
6:120640324-120663429	2.30715
8:94438183-94440159	3.48087
6:131465404-131465851	1.68285
4:235380967-235387352	1.03736
7:104914445-104915173	0.139606
10:118843011-118845162	0.269105
6:157802644-157803247	0.7155
6:157818316-157821566	0.832621
10:82980605-82981415	0.0502937
8:158305051-158309739	1.40474
4:15256207-15256444	0.75516
10:141084933-141087630	0.0172693
8:2990865-3047187	3.84821
5:142261339-142263694	0
6:119944708-119945642	0.501545
9:28982706-28988074	0.0248601
4:1075602-1077563	11.9379
4:1078562-1091089	4.69654
3:224603175-224603640	0.516733
3:224605823-224607760	0.369254
6:165316788-165317941	35.6561
6:165361848-165363487	0
7:31660098-31660784	0.178174
2:141154585-141155649	0.205417
10:76224115-76227981	20.3495
1:127505546-127510527	1.4346
10:10239989-10247894	0.0798272
