chromosome coordinate	FPKM
8:145401331-145404933	0
7:98407385-98418774	2.18827
8:156037619-156038280	0.418316
8:13213951-13214176	12.7133
6:52176339-52177551	0.0942262
2:15287263-15287920	0.141446
1:234729687-234734594	0.492809
3:230622871-230626180	0.613733
6:5244264-5245179	0
6:91137862-91140765	0.0575539
6:91126379-91128404	0.297024
6:91295568-91297709	0
7:39051635-39063412	0.144526
8:44383681-44410624	0.734536
8:139592348-139595786	0.334353
7:174836642-174838301	5.1165
8:79870108-79871283	0.745658
8:22678377-22682240	4.17628
8:22640865-22645283	0.901014
1:13357631-13372635	0.696948
2:9612287-9613906	10.1536
2:9567893-9568772	0
1:221370535-221402911	0.319219
6:108077489-108077783	1.72924
8:123614698-123615250	0.313706
6:110439531-110531186	0
1:184699839-184700461	29.0385
8:24766478-24767757	0.545893
3:71777694-71874434	0.285345
6:48606335-48607785	0
8:13693012-13693586	0
10:60747680-60748395	0.14997
6:82618579-82618750	0
7:88508530-88547693	0.110151
7:19478417-19479536	0.0346177
6:120640324-120663429	2.23688
8:94438183-94440159	3.02323
6:131465404-131465851	1.37597
4:235380967-235387352	0.568009
7:104914445-104915173	0
10:118843011-118845162	0.372048
6:157802644-157803247	0.284654
6:157818316-157821566	1.67036
10:82980605-82981415	0
8:158305051-158309739	1.52801
4:15256207-15256444	0
10:141084933-141087630	0.0163818
8:2990865-3047187	5.47308
5:142261339-142263694	0.495632
6:119944708-119945642	0.167677
9:28982706-28988074	0
4:1075602-1077563	15.8045
4:1078562-1091089	6.72489
3:224603175-224603640	0.970444
3:224605823-224607760	0
6:165316788-165317941	35.182
6:165361848-165363487	0.124772
7:31660098-31660784	0.172955
2:141154585-141155649	0.201812
10:76224115-76227981	22.4719
1:127505546-127510527	1.3286
10:10239989-10247894	0
5:211705202-211716883	0.280523
5:211701635-211703692	0
6:125089479-125089929	0
2:192749404-192750120	0.221992
9:10528778-10529359	1.54853
10:4638250-4664484	0.0453741
10:4719250-4720141	0
6:129138396-129144473	0.0665283
6:66132384-66133903	0.13258
7:173238344-173240966	0.688639
7:142646102-142647449	0.112753
8:87502266-87502755	0
9:6371445-6374213	0
4:218790161-218792082	11.6767
4:218770774-218772712	0.48382
4:218739106-218745767	13.4237
9:38363545-38372950	0.124547
6:147758722-147759571	0.151317
6:147767325-147767637	1.06817
2:213386025-213389632	55.8109
2:9495923-9496382	0.781393
2:9490601-9493471	0.118144
7:24868032-24868371	0.556731
7:24839144-24840336	7.05649
6:150658482-150660391	4.43977
3:229305546-229308321	0.0860992
3:229388165-229418721	0
10:125645192-125645923	0
8:26761673-26761946	0
4:138653425-138654159	5.53841
4:171842283-171845974	0
4:171798007-171798532	0.140941
9:32282888-32284301	0
9:32272870-32273349	0
2:161399093-161463883	0.544571
2:161399093-161463883	5.45366
7:152351853-152354543	20.6323
4:209116071-209120891	10.7334
7:152703578-152742017	0.590294
9:64703755-64710095	1.80147
9:64703755-64710095	0.165977
10:144935717-144936437	0.225118
10:122172057-122175691	0
9:86402097-86407999	1.58075
5:28698879-28699200	0
5:28673864-28674296	2.36033
4:95585393-95587144	0.133207
2:87698727-87699070	0
2:44298897-44304717	13.909
5:156197706-156201103	0
1:233184996-233210134	0.755982
2:183392278-183403901	0.817883
9:154865100-154865533	0
2:219912351-219912891	3.3093
3:7179593-7180016	0
1:142703237-142720948	0.378314
6:120746318-120748864	0.888591
6:120668336-120669902	0.409504
9:114030534-114033244	0.168379
2:234921900-234922340	0
3:4727210-4733882	0
4:194283464-194286652	0.16
4:194340221-194342295	141.075
4:194342556-194343985	26.1047
4:194405474-194411088	2.72176
2:76215309-76218216	0.135624
3:192033353-192034113	30.4587
4:181782173-181790662	21.0037
5:812640-814981	3.67714
10:40265219-40265474	3.51572
5:75292388-75292703	0
2:1956308-1956752	0
3:1566747-1571929	0.342698
5:172809876-172815753	17.9418
5:11778317-11778992	12.2582
9:119260054-119261518	0
9:119202474-119202907	102.386
2:57883188-57883752	0.304167
4:162083354-162084414	0
2:2997710-3001870	13.065
10:143477389-143482740	0.0979322
4:170389678-170389918	10.8273
10:101671874-101685000	0.0322357
4:28324992-28327317	0.734736
2:199693526-199694030	0.412653
2:199691122-199692632	2.09241
2:199653144-199679775	0.107008
6:146982989-146983193	3.10136
2:143095528-143097456	0
8:164651211-164651926	0
5:31877958-31879804	0.791725
4:36485914-36488284	1.32793
5:34532386-34539232	2.32237
5:36947177-36950631	0.233168
4:166251247-166251772	0
5:35789-37638	0.0546981
2:229413600-229414256	0
3:22966248-22966584	2.5693
9:106728208-106741958	0
3:70857211-70857571	0
8:40948481-40951838	0.306216
8:40945690-40946202	4.9835
4:184951356-184952193	0.886447
3:19087277-19089513	0.0335949
10:104890465-104890831	0.21924
3:196306201-196306555	0.587526
2:218368187-218369904	0
10:105788539-105788884	0.311653
5:64355447-64361154	53.0867
5:64335785-64339361	50.0168
5:61514480-61514972	0.274797
3:16614399-16616261	5.99591
5:10904891-10906664	0.084449
10:121225509-121232890	0.0436811
2:139750265-139752054	0.478001
5:35417063-35417390	0
1:8208994-8210311	3.27939
7:134319668-134321259	0.572796
3:217843744-217844523	0
8:78207591-78220064	1.10028
2:183934916-183945298	3.3747
1:298501322-298503474	0.355495
3:12744244-12744814	0.453817
4:202907636-202908425	0
7:10763751-10764483	0.239118
1:11781915-11782241	0
5:4152303-4154298	1.76905
2:57649928-57652315	0.537481
3:91767706-91769347	0.0305343
8:37657959-37661681	23.8675
1:37997640-38007833	0.550683
4:195326117-195331420	0
4:195214308-195214997	0
2:228022481-228023857	0.891717
2:6354512-6356489	15.7071
2:83328914-83338644	0
2:55892951-55893901	0
5:151178519-151178960	14.7893
5:172930556-172937837	0.200871
5:4975278-4996060	3.55116
8:142827633-142827882	3.75125
2:226642103-226642769	0.315472
2:209225777-209231371	0.125537
6:124599315-124600179	0.278599
4:31350708-31351203	0.934886
2:114763713-114769341	1.9883
3:133231813-133232488	0.0605999
4:217354293-217355193	0
10:32498327-32501049	1.06017
1:64984097-64984628	0
1:7113384-7116457	0
1:7092773-7094460	0.29933
2:220750944-220758496	0.149231
5:213915511-213917618	4.96832
10:98697826-98715875	0.0833977
7:119130801-119132085	1.7871
10:130352327-130352704	2.31806
3:59803450-59812938	0.403456
5:64844301-64851560	0.217678
4:237462641-237462956	0
5:204776083-204776825	0
4:198853381-198855441	0.400326
8:138776467-138777128	0.394306
4:211425949-211427110	0
3:90996633-90997141	0.521362
4:26821034-26862156	0.322021
5:217829201-217829540	0
3:220462142-220463125	0.436733
3:220520715-220524593	0.889321
7:27669316-27671990	37.8186
3:201176359-201177294	0
1:295271367-295299822	0.0293865
5:137128668-137129016	0
3:155623258-155624384	3.18968
9:151748793-151751659	0.342345
1:72598204-72598989	0.207496
1:39016834-39017331	0
1:994575-995451	0.089668
2:230424075-230425859	0
6:167597767-167598226	0.157251
4:19601750-19621762	0.397451
4:127701652-127705032	0.963165
2:16393720-16394197	0
7:57743844-57744791	0.51225
5:15546473-15552849	0.290112
7:2738044-2739244	9.16675
3:64819055-64821632	5.90312
3:39626426-39627161	0
4:88834405-88834690	0
2:81634694-81674280	0.432283
2:81634694-81674280	0.279321
2:81634694-81674280	1.2732
4:176503650-176504151	0.569021
5:60600491-60602235	23.0439
5:25434311-25435599	0
3:89663005-89664562	0.0368137
9:156199740-156212095	0.162278
2:14869122-14872799	0.0299827
8:129696123-129698172	4.54256
1:204074773-204076473	0
3:43354715-43355375	0
5:67202130-67202340	0
5:76210305-76210828	22.6316
5:76217268-76220513	1.58748
1:214478873-214489491	0
1:183446756-183447365	13.7431
1:230122831-230123475	2.01371
1:230119709-230122502	3.15071
4:58493409-58496647	0.823687
4:65828264-65828522	0.949578
5:124080520-124084119	0
4:212163493-212163814	0
1:285229546-285229792	1.38385
2:6890128-6891442	0
5:137851621-137855580	44.9694
1:277130470-277131954	0
1:277032396-277046072	3.47688
6:46361758-46362205	0
4:132201432-132205727	3.78386
7:147763481-147765021	0.311274
1:202528875-202529268	0
2:3775743-3804915	12.2943
4:85141292-85141781	0
10:137935949-137944665	2.50903
4:200540442-200541940	0.400019
7:31773112-31778599	4.38276
8:5486611-5487356	0
3:186061859-186071040	0.274684
3:167478878-167488255	0.483149
2:46859146-46861689	0
3:45917972-45918952	0
8:69054057-69055371	1.06197
4:34921124-34931317	1.8556
1:1779987-1782907	0.293512
1:1851967-1853974	0
3:128910936-128915069	11.4343
