reg.gid	tgt.gid
Zm00001d033859	Zm00001d031416
Zm00001d033859	Zm00001d005954
Zm00001d033859	Zm00001d004868
Zm00001d033859	Zm00001d035875
Zm00001d033859	Zm00001d039267
Zm00001d033859	Zm00001d038147
Zm00001d033859	Zm00001d017391
Zm00001d033859	Zm00001d025994
Zm00001d033859	Zm00001d021365
Zm00001d033859	Zm00001d021370
Zm00001d033859	Zm00001d034049
Zm00001d033859	Zm00001d033805
Zm00001d033859	Zm00001d020736
Zm00001d033859	Zm00001d022069
Zm00001d033859	Zm00001d013573
Zm00001d033859	Zm00001d018883
Zm00001d033859	Zm00001d037691
Zm00001d033859	Zm00001d016590
Zm00001d033859	Zm00001d015300
Zm00001d033859	Zm00001d037909
