Year	TF	Study	Tissues	Targets	Reference
2012	KNOTTED1 (KN1)	Bolduc2012	meristem (ear, tassel, leaf)	648	Bolduc2012
2012	Pericarp Color1 (P1)	Li2015	endosperm	35 (24)	Li2015
2014	RAMOSA (RA1)	Pautler2015	shoot meristem, leaf, floral meristem 	102 (98)	Pautler2015
2015	fascinated ear4 (FEA4)	Morohashi2012	(RNA-Seq done in ear)	?	Morohashi2012
2015	Opaque2 (O2)	Eveland2014	pericarps, floral	204	Eveland2014
2016	HDA101	Yang2016	ear	108	Yang2016
2018	ZmbZIP22	Li2018	seed, kernel	33 (26)	Li2018
