reg.gid	tgt.gid
Zm00001d037317	Zm00001d024661
Zm00001d037317	Zm00001d018555
Zm00001d037317	Zm00001d011941
Zm00001d037317	Zm00001d048051
Zm00001d037317	Zm00001d009014
Zm00001d037317	Zm00001d028139
Zm00001d037317	Zm00001d038879
Zm00001d037317	Zm00001d018056
Zm00001d037317	Zm00001d047946
Zm00001d037317	Zm00001d024602
Zm00001d037317	Zm00001d029429
Zm00001d037317	Zm00001d035747
Zm00001d037317	Zm00001d028866
Zm00001d037317	Zm00001d003400
Zm00001d037317	Zm00001d024672
Zm00001d037317	Zm00001d029868
Zm00001d037317	Zm00001d034727
Zm00001d037317	Zm00001d009315
Zm00001d037317	Zm00001d022474
Zm00001d037317	Zm00001d000311
Zm00001d037317	Zm00001d021584
Zm00001d037317	Zm00001d021072
Zm00001d037317	Zm00001d010066
Zm00001d037317	Zm00001d042288
Zm00001d037317	Zm00001d018479
Zm00001d037317	Zm00001d043352
Zm00001d037317	Zm00001d045064
Zm00001d037317	Zm00001d042328
Zm00001d037317	Zm00001d051552
