reg.gid	tgt.gid
Zm00001d033859	Zm00001d005071
Zm00001d033859	Zm00001d034635
Zm00001d033859	Zm00001d042598
Zm00001d033859	Zm00001d042973
Zm00001d033859	Zm00001d037289
Zm00001d033859	Zm00001d033799
Zm00001d033859	Zm00001d033605
Zm00001d033859	Zm00001d033976
Zm00001d033859	Zm00001d039316
Zm00001d033859	Zm00001d031620
Zm00001d033859	Zm00001d039914
Zm00001d033859	Zm00001d049684
Zm00001d033859	Zm00001d038526
Zm00001d033859	Zm00001d002726
Zm00001d033859	Zm00001d047765
Zm00001d033859	Zm00001d004957
Zm00001d033859	Zm00001d013566
Zm00001d033859	Zm00001d040130
Zm00001d033859	Zm00001d043368
Zm00001d033859	Zm00001d017597
Zm00001d033859	Zm00001d032502
Zm00001d033859	Zm00001d047994
Zm00001d033859	Zm00001d033020
Zm00001d033859	Zm00001d012296
Zm00001d033859	Zm00001d045576
Zm00001d033859	Zm00001d053756
Zm00001d033859	Zm00001d031487
Zm00001d033859	Zm00001d007254
Zm00001d033859	Zm00001d040567
Zm00001d033859	Zm00001d038891
Zm00001d033859	Zm00001d042023
Zm00001d033859	Zm00001d048703
Zm00001d033859	Zm00001d032866
Zm00001d033859	Zm00001d026635
Zm00001d033859	Zm00001d052701
Zm00001d033859	Zm00001d002075
Zm00001d033859	Zm00001d028949
Zm00001d033859	Zm00001d032461
Zm00001d033859	Zm00001d002446
Zm00001d033859	Zm00001d033391
Zm00001d033859	Zm00001d024525
Zm00001d033859	Zm00001d048312
Zm00001d033859	Zm00001d048317
Zm00001d033859	Zm00001d031992
Zm00001d033859	Zm00001d033890
Zm00001d033859	Zm00001d032457
Zm00001d033859	Zm00001d031871
Zm00001d033859	Zm00001d044121
Zm00001d033859	Zm00001d052856
Zm00001d033859	Zm00001d018356
Zm00001d033859	Zm00001d034602
Zm00001d033859	Zm00001d000291
Zm00001d033859	Zm00001d050153
Zm00001d033859	Zm00001d039524
Zm00001d033859	Zm00001d043480
Zm00001d033859	Zm00001d008882
Zm00001d033859	Zm00001d001964
Zm00001d033859	Zm00001d040281
Zm00001d033859	Zm00001d051420
Zm00001d033859	Zm00001d032539
Zm00001d033859	Zm00001d033995
Zm00001d033859	Zm00001d039372
Zm00001d033859	Zm00001d049556
Zm00001d033859	Zm00001d010235
Zm00001d033859	Zm00001d006323
Zm00001d033859	Zm00001d020345
Zm00001d033859	Zm00001d032536
Zm00001d033859	Zm00001d026160
Zm00001d033859	Zm00001d031463
Zm00001d033859	Zm00001d026371
Zm00001d033859	Zm00001d019145
Zm00001d033859	Zm00001d043922
Zm00001d033859	Zm00001d000204
Zm00001d033859	Zm00001d047881
Zm00001d033859	Zm00001d016723
Zm00001d033859	Zm00001d028807
Zm00001d033859	Zm00001d020353
Zm00001d033859	Zm00001d017391
Zm00001d033859	Zm00001d018111
Zm00001d033859	Zm00001d037114
Zm00001d033859	Zm00001d003331
Zm00001d033859	Zm00001d048824
Zm00001d033859	Zm00001d047071
Zm00001d033859	Zm00001d013035
Zm00001d033859	Zm00001d039495
Zm00001d033859	Zm00001d012362
Zm00001d033859	Zm00001d013573
Zm00001d033859	Zm00001d016736
Zm00001d033859	Zm00001d002395
Zm00001d033859	Zm00001d017958
Zm00001d033859	Zm00001d017646
Zm00001d033859	Zm00001d018326
Zm00001d033859	Zm00001d018369
Zm00001d033859	Zm00001d022454
Zm00001d033859	Zm00001d046766
