GRMZM2G105364	rep1_MACS_peak_4693,rep2_MACS_peak_9104	yes
GRMZM2G389567	rep2_MACS_peak_983,rep1_MACS_peak_519,rep1_MACS_peak_520,rep2_MACS_peak_984	yes
GRMZM2G097989	rep1_MACS_peak_3511,rep2_MACS_peak_6791	yes
GRMZM2G447447	rep1_MACS_peak_2084,rep2_MACS_peak_3950,rep1_MACS_peak_2085,rep2_MACS_peak_3952	yes
GRMZM2G355752	rep1_MACS_peak_1827,rep2_MACS_peak_3424	yes
GRMZM2G451314	rep1_MACS_peak_3100,rep2_MACS_peak_5977	yes
GRMZM2G005996	rep1_MACS_peak_3167,rep2_MACS_peak_6096,rep2_MACS_peak_6097,rep1_MACS_peak_3168	yes
GRMZM2G080521	rep1_MACS_peak_4155,rep2_MACS_peak_8104	yes
GRMZM2G376416	rep2_MACS_peak_9128,rep1_MACS_peak_4710	yes
GRMZM2G430522	rep2_MACS_peak_837,rep1_MACS_peak_436,rep2_MACS_peak_838,rep1_MACS_peak_437	yes
GRMZM2G094353	rep2_MACS_peak_5824,rep1_MACS_peak_3026	yes
GRMZM2G013957	rep1_MACS_peak_219,rep2_MACS_peak_441	yes
GRMZM2G039505	rep1_MACS_peak_2041,rep2_MACS_peak_3856	yes
GRMZM2G003509	rep1_MACS_peak_409,rep2_MACS_peak_784	yes
GRMZM2G124744	rep2_MACS_peak_1797,rep1_MACS_peak_983,rep1_MACS_peak_984,rep2_MACS_peak_1798	yes
GRMZM2G013318	rep1_MACS_peak_4629,rep2_MACS_peak_8999	yes
GRMZM2G064386	rep2_MACS_peak_6372,rep1_MACS_peak_3310	yes
GRMZM2G089976	rep1_MACS_peak_28,rep2_MACS_peak_58	yes
GRMZM5G830695	rep2_MACS_peak_3545,rep1_MACS_peak_1899	yes
GRMZM2G119311	rep1_MACS_peak_2517,rep2_MACS_peak_4873	yes
GRMZM2G032564	rep1_MACS_peak_975,rep2_MACS_peak_1786	yes
GRMZM2G416388	rep1_MACS_peak_718,rep2_MACS_peak_1339	yes
GRMZM2G041127	rep1_MACS_peak_1671,rep2_MACS_peak_3120	yes
GRMZM2G172320	rep1_MACS_peak_3842,rep2_MACS_peak_7422,rep2_MACS_peak_7423,rep1_MACS_peak_3843,rep1_MACS_peak_3844,rep2_MACS_peak_7425	yes
GRMZM2G161302	rep1_MACS_peak_3892,rep2_MACS_peak_7524	yes
GRMZM2G077307	rep2_MACS_peak_4274,rep1_MACS_peak_2231	yes
GRMZM2G166413	rep2_MACS_peak_8661,rep1_MACS_peak_4453,rep2_MACS_peak_8662,rep1_MACS_peak_4454	yes
GRMZM2G013324	rep1_MACS_peak_3113,rep2_MACS_peak_6008	yes
GRMZM2G111477	rep1_MACS_peak_2891,rep2_MACS_peak_5553	yes
GRMZM2G153488	rep1_MACS_peak_3137,rep2_MACS_peak_6044	yes
GRMZM2G178415	rep2_MACS_peak_1461,rep1_MACS_peak_791	yes
GRMZM2G081155	rep2_MACS_peak_7757,rep1_MACS_peak_3993	yes
GRMZM2G011742	rep2_MACS_peak_7140,rep1_MACS_peak_3686,rep1_MACS_peak_3687,rep2_MACS_peak_7141	yes
GRMZM2G133213	rep2_MACS_peak_4171,rep1_MACS_peak_2182	yes
