AC185254.4_FG002
AC202181.3_FG010
AC208897.3_FG003
AC213455.3_FG008
AC214771.3_FG003
AC233979.1_FG011
AC234575.1_FG003
AY530952.1_FG001
GRMZM2G003769
GRMZM2G003784
GRMZM2G004690
GRMZM2G005040
GRMZM2G008740
GRMZM2G012891
GRMZM2G015419
GRMZM2G022820
GRMZM2G031033
GRMZM2G035685
GRMZM2G036455
GRMZM2G036759
GRMZM2G038153
GRMZM2G038783
GRMZM2G041022
GRMZM2G043242
GRMZM2G043878
GRMZM2G045981
GRMZM2G048008
GRMZM2G048591
GRMZM2G049541
GRMZM2G055982
GRMZM2G058394
GRMZM2G063244
GRMZM2G065157
GRMZM2G067946
GRMZM2G069856
GRMZM2G072052
GRMZM2G073823
GRMZM2G076796
GRMZM2G077258
GRMZM2G078077
GRMZM2G079727
GRMZM2G081573
GRMZM2G082696
GRMZM2G084005
GRMZM2G085113
GRMZM2G085381
GRMZM2G085661
GRMZM2G086403
GRMZM2G091419
GRMZM2G093325
GRMZM2G095302
GRMZM2G097641
GRMZM2G099049
GRMZM2G102365
GRMZM2G105518
GRMZM2G106558
GRMZM2G106819
GRMZM2G107406
GRMZM2G110976
GRMZM2G112488
GRMZM2G112538
GRMZM2G115329
GRMZM2G117392
GRMZM2G117855
GRMZM2G118345
GRMZM2G119209
GRMZM2G119755
GRMZM2G126367
GRMZM2G126781
GRMZM2G127714
GRMZM2G131683
GRMZM2G135182
GRMZM2G138727
GRMZM2G144415
GRMZM2G146047
GRMZM2G146346
GRMZM2G155077
GRMZM2G155314
GRMZM2G155783
GRMZM2G161411
GRMZM2G165308
GRMZM2G167669
GRMZM2G168382
GRMZM2G173186
GRMZM2G303728
GRMZM2G305007
GRMZM2G306679
GRMZM2G306915
GRMZM2G318780
GRMZM2G327680
GRMZM2G331638
GRMZM2G341309
GRMZM2G343149
GRMZM2G343854
GRMZM2G355233
GRMZM2G363474
GRMZM2G366778
GRMZM2G374309
GRMZM2G380784
GRMZM2G388453
GRMZM2G416184
GRMZM2G420280
GRMZM2G428379
GRMZM2G429057
GRMZM2G429231
GRMZM2G437859
GRMZM2G438438
GRMZM2G439168
GRMZM2G442555
GRMZM2G454306
GRMZM2G470048
GRMZM2G470307
GRMZM2G471904
GRMZM2G478779
GRMZM2G527256
GRMZM2G561444
GRMZM2G700252
GRMZM2G703002
GRMZM5G823696
GRMZM5G842645
GRMZM5G862355
GRMZM5G866989
GRMZM5G872007
GRMZM5G874903
GRMZM5G881387
GRMZM5G899188
GRMZM2G362926
