maize.gene.id	clustera	DEb
GRMZM2G174458	NA	
GRMZM2G578155	NA	
GRMZM2G130790	NA	
GRMZM2G152526	NA	
GRMZM2G081943	NA	
GRMZM2G415491	NA	
GRMZM2G035497	NA	
GRMZM2G467212	NA	
GRMZM2G079100	NA	
GRMZM2G016434	NA	
GRMZM2G177349	NA	
GRMZM2G178990	NA	
GRMZM2G305671	NA	
GRMZM2G700459	NA	
GRMZM2G136544	NA	
GRMZM2G104789	NA	
AC192608.3_FG004	NA	
GRMZM2G158593	NA	
GRMZM2G094388	NA	
GRMZM2G162525	NA	
GRMZM2G046601	NA	
GRMZM2G307088	NA	
GRMZM2G015703	NA	
GRMZM2G053083	NA	
GRMZM2G103101	NA	
GRMZM2G115975	NA	
GRMZM2G418635	NA	
AC217241.3_FG004	NA	
AC214267.3_FG004	NA	
AC232289.2_FG005	NA	
GRMZM2G034283	NA	
GRMZM2G700272	NA	
GRMZM2G409589	NA	
AC196961.2_FG004	NA	
GRMZM5G846916	NA	
GRMZM2G101001	NA	
GRMZM2G369945	NA	
GRMZM2G400720	NA	
GRMZM2G334592	NA	
GRMZM2G404762	NA	
GRMZM2G079236	NA	
GRMZM2G001297	NA	
GRMZM2G174129	NA	
GRMZM2G151367	NA	
GRMZM2G095898	NA	
GRMZM2G119322	NA	
GRMZM2G035755	NA	
GRMZM2G479330	NA	
GRMZM2G093950	NA	
GRMZM2G052334	NA	
GRMZM2G098076	NA	
GRMZM2G318526	NA	
GRMZM2G166855	NA	
GRMZM2G468260	NA	
GRMZM2G416308	NA	
GRMZM2G059669	NA	
